Month;Registrations
01/01/1990;310337
01/02/1990;219117
01/03/1990;225059
01/04/1990;214460
01/05/1990;232627
01/06/1990;201085
01/07/1990;206843
01/08/1990;107075
01/09/1990;153386
01/10/1990;183925
01/11/1990;157300
01/12/1990;95841
01/01/1991;295463
01/02/1991;207724
01/03/1991;235431
01/04/1991;192108
01/05/1991;222099
01/06/1991;192823
01/07/1991;214440
01/08/1991;95642
01/09/1991;142955
01/10/1991;196031
01/11/1991;155815
01/12/1991;99459
01/01/1992;283098
01/02/1992;206326
01/03/1992;221829
01/04/1992;256950
01/05/1992;225667
01/06/1992;234424
01/07/1992;233381
01/08/1992;79701
01/09/1992;148800
01/10/1992;190132
01/11/1992;149815
01/12/1992;142224
01/01/1993;229296
01/02/1993;183154
01/03/1993;176998
01/04/1993;154476
01/05/1993;144114
01/06/1993;152677
01/07/1993;151722
01/08/1993;66738
01/09/1993;117298
01/10/1993;123470
01/11/1993;114782
01/12/1993;80703
01/01/1994;190600
01/02/1994;146995
01/03/1994;180480
01/04/1994;135385
01/05/1994;159862
01/06/1994;155064
01/07/1994;147648
01/08/1994;72969
01/09/1994;124464
01/10/1994;131082
01/11/1994;133057
01/12/1994;94160
01/01/1995;201101
01/02/1995;153685
01/03/1995;176242
01/04/1995;141145
01/05/1995;167637
01/06/1995;160704
01/07/1995;156020
01/08/1995;80191
01/09/1995;126996
01/10/1995;117669
01/11/1995;151358
01/12/1995;98999
01/01/1996;198031
01/02/1996;163131
01/03/1996;176517
01/04/1996;152157
01/05/1996;162802
01/06/1996;148121
01/07/1996;160157
01/08/1996;73252
01/09/1996;114835
01/10/1996;144853
01/11/1996;129949
01/12/1996;108393
01/01/1997;203844
01/02/1997;194955
01/03/1997;218653
01/04/1997;228990
01/05/1997;230824
01/06/1997;219429
01/07/1997;246597
01/08/1997;108152
01/09/1997;205014
01/10/1997;228638
01/11/1997;187804
01/12/1997;130844
01/01/1998;274825
01/02/1998;226631
01/03/1998;225438
01/04/1998;229442
01/05/1998;209554
01/06/1998;211401
01/07/1998;256570
01/08/1998;99465
01/09/1998;176288
01/10/1998;180741
01/11/1998;173521
01/12/1998;114640
01/01/1999;225578
01/02/1999;217803
01/03/1999;250956
01/04/1999;222830
01/05/1999;217650
01/06/1999;230297
01/07/1999;231643
01/08/1999;94210
01/09/1999;169448
01/10/1999;183903
01/11/1999;170778
01/12/1999;123368
01/01/2000;266008
01/02/2000;241305
01/03/2000;260354
01/04/2000;213830
01/05/2000;236919
01/06/2000;198704
01/07/2000;223328
01/08/2000;111692
01/09/2000;183109
01/10/2000;188092
01/11/2000;176504
01/12/2000;123239
01/01/2001;272052
01/02/2001;224757
01/03/2001;251698
01/04/2001;220800
01/05/2001;234929
01/06/2001;217696
01/07/2001;216093
01/08/2001;107330
01/09/2001;159740
01/10/2001;198367
01/11/2001;178826
01/12/2001;131167
01/01/2002;246886
01/02/2002;198127
01/03/2002;211779
01/04/2002;193976
01/05/2002;207677
01/06/2002;180406
01/07/2002;204490
01/08/2002;100615
01/09/2002;165982
01/10/2002;192258
01/11/2002;179355
01/12/2002;198061
01/01/2003;210582
01/02/2003;212567
01/03/2003;272215
01/04/2003;183784
01/05/2003;184855
01/06/2003;190136
01/07/2003;219442
01/08/2003;89732
01/09/2003;181015
01/10/2003;190100
01/11/2003;170131
01/12/2003;142460
01/01/2004;220742
01/02/2004;207035
01/03/2004;249711
01/04/2004;208769
01/05/2004;207022
01/06/2004;198272
